,name,ratio,k_size,max_dist,fidelity,n_segs,img_num
340,quickshift,0.2,3,100,0.19005901020273375,84,42
341,quickshift,0.2,3,1000,0.1593052151063158,84,42
342,quickshift,0.2,8,100,0.4635665271716367,9,42
343,quickshift,0.2,8,1000,0.4783527845069563,9,42
344,quickshift,0.01,3,100,0.600075334533443,51,43
345,quickshift,0.01,3,1000,0.5979091580172551,51,43
346,quickshift,0.01,8,100,0.6252550432735351,10,43
347,quickshift,0.01,8,1000,0.6181724406366841,10,43
348,quickshift,0.2,3,100,0.5677493935810574,53,43
349,quickshift,0.2,3,1000,0.585271497840748,53,43
350,quickshift,0.2,8,100,0.7039716346644019,10,43
351,quickshift,0.2,8,1000,0.7077820493723024,10,43
352,quickshift,0.01,3,100,0.21885667638052653,58,44
353,quickshift,0.01,3,1000,0.23526825220588687,58,44
354,quickshift,0.01,8,100,0.448865314864443,5,44
355,quickshift,0.01,8,1000,0.4274010479862519,5,44
356,quickshift,0.2,3,100,0.28163772310957935,54,44
357,quickshift,0.2,3,1000,0.3374376623270051,54,44
358,quickshift,0.2,8,100,0.7455541223454274,6,44
359,quickshift,0.2,8,1000,0.741600413006386,6,44
360,quickshift,0.01,3,100,0.13461536963540321,74,45
361,quickshift,0.01,3,1000,0.13379193745007634,74,45
362,quickshift,0.01,8,100,0.16892513454831093,10,45
363,quickshift,0.01,8,1000,0.2023276785286665,10,45
364,quickshift,0.2,3,100,0.14199281600975677,78,45
365,quickshift,0.2,3,1000,0.15640987604524714,78,45
366,quickshift,0.2,8,100,0.2297060426290798,10,45
367,quickshift,0.2,8,1000,0.22352122546083164,10,45
368,quickshift,0.01,3,100,0.1672807590742449,59,46
369,quickshift,0.01,3,1000,0.18073556097097598,59,46
370,quickshift,0.01,8,100,0.7473522142025044,6,46
371,quickshift,0.01,8,1000,0.7444815199758603,6,46
372,quickshift,0.2,3,100,0.17198667140751556,63,46
373,quickshift,0.2,3,1000,0.1828128435152009,63,46
374,quickshift,0.2,8,100,0.6850115818293535,9,46
375,quickshift,0.2,8,1000,0.6764801422490263,9,46
376,quickshift,0.01,3,100,0.17333886024136647,51,47
377,quickshift,0.01,3,1000,0.17038688419903691,51,47
378,quickshift,0.01,8,100,0.32052038462379406,8,47
379,quickshift,0.01,8,1000,0.2794476740733619,8,47
380,quickshift,0.2,3,100,0.18476462116227413,51,47
381,quickshift,0.2,3,1000,0.24095992632894417,51,47
382,quickshift,0.2,8,100,0.47028311147302154,8,47
383,quickshift,0.2,8,1000,0.4767385507941156,8,47
384,quickshift,0.01,3,100,0.21539984836650528,69,48
385,quickshift,0.01,3,1000,0.21496629836035183,69,48
386,quickshift,0.01,8,100,0.6916611932302377,11,48
